State,District,Subdistt,Town/Village,Ward,Ward_Alphabet,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
27,519,99999,802794,0312,C,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0312,Urban,7572,37220,21990,15230,3086,1595,1491,104,65,39,54,42,12,31541,18972,12569,5679,3018,2661,16498,14814,1684,15780,14376,1404,38,31,7,34,28,6,1493,1394,99,14215,12923,1292,718,438,280,23,11,12,2,0,2,52,29,23,641,398,243,650,396,254,23,11,12,2,0,2,45,28,17,580,357,223,68,42,26,0,0,0,0,0,0,7,1,6,61,41,20,20722,7176,13546
27,519,99999,802794,0313,C,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0313,Urban,3960,17853,13437,4416,679,360,319,122,63,59,17,9,8,15275,11700,3575,2578,1737,841,12692,11601,1091,12416,11403,1013,32,23,9,26,24,2,291,245,46,12067,11111,956,276,198,78,20,9,11,0,0,0,18,13,5,238,176,62,253,180,73,20,9,11,0,0,0,17,12,5,216,159,57,23,18,5,0,0,0,0,0,0,1,1,0,22,17,5,5161,1836,3325
27,519,99999,802794,0314,C,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0314,Urban,7171,30878,17354,13524,1821,992,829,966,469,497,163,75,88,26740,15216,11524,4138,2138,2000,15028,11654,3374,14524,11335,3189,31,23,8,48,35,13,608,447,161,13837,10830,3007,504,319,185,21,12,9,1,0,1,32,18,14,450,289,161,435,276,159,21,12,9,1,0,1,24,14,10,389,250,139,69,43,26,0,0,0,0,0,0,8,4,4,61,39,22,15850,5700,10150
27,519,99999,802794,0315,C,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0315,Urban,7344,30861,17255,13606,1883,1009,874,267,141,126,67,32,35,26552,14604,11948,4309,2651,1658,14099,11029,3070,13438,10590,2848,34,27,7,28,23,5,363,243,120,13013,10297,2716,661,439,222,13,6,7,0,0,0,28,14,14,620,419,201,530,342,188,12,6,6,0,0,0,18,9,9,500,327,173,131,97,34,1,0,1,0,0,0,10,5,5,120,92,28,16762,6226,10536
27,519,99999,802794,0416,D,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0416,Urban,11187,52217,28767,23450,3640,1920,1720,929,476,453,117,62,55,43187,24264,18923,9030,4503,4527,22578,18458,4120,21398,17714,3684,71,46,25,54,46,8,586,441,145,20687,17181,3506,1180,744,436,57,26,31,2,1,1,46,25,21,1075,692,383,1044,654,390,57,26,31,2,1,1,35,22,13,950,605,345,136,90,46,0,0,0,0,0,0,11,3,8,125,87,38,29639,10309,19330
27,519,99999,802794,0417,D,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0417,Urban,10999,54783,28721,26062,4898,2510,2388,3554,1687,1867,72,39,33,44835,24203,20632,9948,4518,5430,21728,17201,4527,20123,16209,3914,72,40,32,63,39,24,608,444,164,19380,15686,3694,1605,992,613,39,18,21,20,16,4,119,77,42,1427,881,546,1321,818,503,39,18,21,20,16,4,62,32,30,1200,752,448,284,174,110,0,0,0,0,0,0,57,45,12,227,129,98,33055,11520,21535
27,519,99999,802794,0418,D,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0418,Urban,9356,38581,19915,18666,2316,1232,1084,306,152,154,210,115,95,34454,17902,16552,4127,2013,2114,16321,12259,4062,15167,11647,3520,36,13,23,50,36,14,540,381,159,14541,11217,3324,1154,612,542,27,18,9,9,7,2,68,32,36,1050,555,495,1074,569,505,27,18,9,8,6,2,58,30,28,981,515,466,80,43,37,0,0,0,1,1,0,10,2,8,69,40,29,22260,7656,14604
27,519,99999,802794,0419,D,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0419,Urban,3641,15065,8087,6978,803,444,359,217,116,101,224,111,113,13315,7212,6103,1750,875,875,6919,5249,1670,6568,5031,1537,22,16,6,12,11,1,257,195,62,6277,4809,1468,351,218,133,11,8,3,2,1,1,17,7,10,321,202,119,288,175,113,11,8,3,2,1,1,12,5,7,263,161,102,63,43,20,0,0,0,0,0,0,5,2,3,58,41,17,8146,2838,5308
27,519,99999,802794,0420,D,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0420,Urban,15333,67661,35611,32050,3934,2056,1878,1011,516,495,409,224,185,58573,30963,27610,9088,4648,4440,32322,23325,8997,29739,22045,7694,108,75,33,114,75,39,1097,806,291,28420,21089,7331,2583,1280,1303,56,24,32,15,7,8,74,29,45,2438,1220,1218,2386,1168,1218,52,22,30,14,7,7,65,26,39,2255,1113,1142,197,112,85,4,2,2,1,0,1,9,3,6,183,107,76,35339,12286,23053
27,519,99999,802794,0421,D,000000,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0421,Urban,27040,118559,61887,56672,7832,4102,3730,10827,5270,5557,597,326,271,100114,52851,47263,18445,9036,9409,53225,37926,15299,49918,36125,13793,230,139,91,266,190,76,1759,1264,495,47663,34532,13131,3307,1801,1506,116,60,56,42,23,19,171,81,90,2978,1637,1341,2977,1592,1385,113,58,55,42,23,19,140,64,76,2682,1447,1235,330,209,121,3,2,1,0,0,0,31,17,14,296,190,106,65334,23961,41373
